YY,MM,DD,HH,HHOT(m),10-Minute Mean Wind Direction(Compass points),10-Minute Mean Speed(km/hour),10-Minute Maximum Gust(km/hour),Mean Sea Level Pressure(hPa),Air Temperature(degree Celsius),Relative Humidity(percent)
2023,1,2,18,2.08,North,4.0,9.0,1021.6,19.9,60.0
2023,1,2,19,2.12,Northeast,9.0,11.0,1022.4,19.5,62.0
2023,1,2,20,2.03,North,9.0,12.0,1023.1,18.9,64.0
2023,1,2,21,1.83,Northeast,8.0,11.0,1023.7,18.6,65.0
2023,1,2,22,1.56,East,8.0,14.0,1024.2,18.3,65.0
2023,1,2,23,1.28,East,10.0,20.0,1024.5,18.2,65.0
2023,1,2,24,1.06,East,8.0,12.0,1024.5,18.0,65.0
2023,1,3,1,0.95,East,6.0,11.0,1024.2,17.8,64.0
2023,1,3,2,0.95,Northeast,4.0,5.0,1024.0,17.4,66.0
2023,1,3,3,0.99,North,9.0,11.0,1023.6,17.3,69.0
2023,1,3,4,1.05,North,9.0,11.0,1023.2,17.0,70.0
2023,1,3,5,1.13,North,11.0,15.0,1023.3,16.8,68.0
2023,1,3,6,1.23,North,7.0,11.0,1023.3,16.5,69.0
2023,1,3,7,1.34,Northeast,8.0,15.0,1023.6,16.2,69.0
2023,1,3,8,1.39,East,5.0,11.0,1024.0,16.3,67.0
2023,1,3,9,1.38,North,6.0,11.0,1025.0,16.2,71.0
2023,1,3,10,1.34,Calm,0.0,,1025.7,16.7,68.0
2023,1,3,11,1.29,North,8.0,9.0,1025.7,16.9,68.0
2023,1,3,12,1.29,East,6.0,12.0,1025.2,17.8,65.0
2023,1,3,13,1.37,Calm,4.0,,1024.5,18.5,63.0
2023,1,3,14,1.55,Calm,0.0,,1023.2,18.9,62.0
2023,1,3,15,1.75,North,7.0,11.0,1022.6,19.0,62.0
2023,1,3,16,1.92,North,5.0,9.0,1022.2,18.6,63.0
2023,1,3,17,2.05,North,12.0,17.0,1021.9,18.4,62.0
2023,1,3,18,2.14,North,11.0,15.0,1022.2,17.7,70.0
2023,1,3,19,2.21,Northeast,12.0,17.0,1022.5,16.7,81.0
2023,1,3,20,2.18,North,6.0,9.0,1023.1,16.7,77.0
2023,1,3,21,2.04,East,12.0,20.0,1023.8,16.8,73.0
2023,1,3,22,1.77,North,9.0,17.0,1024.5,16.8,71.0
2023,1,3,23,1.44,Northeast,6.0,10.0,1024.5,16.9,70.0
2023,1,3,24,1.13,East,12.0,18.0,1024.0,17.1,73.0
2023,1,4,1,0.88,East,6.0,11.0,1023.6,16.9,74.0
2023,1,4,2,0.77,East,12.0,26.0,1023.5,16.9,75.0
2023,1,4,3,0.78,Northeast,12.0,20.0,1023.2,16.8,75.0
2023,1,4,4,0.85,Northeast,12.0,15.0,1022.7,16.4,75.0
2023,1,4,5,0.95,East,6.0,9.0,1022.7,16.0,76.0
2023,1,4,6,1.06,Northeast,12.0,17.0,1022.8,16.2,74.0
2023,1,4,7,1.2,East,12.0,22.0,1023.5,16.3,74.0
2023,1,4,8,1.32,Northeast,14.0,18.0,1024.0,16.0,74.0
2023,1,4,9,1.38,East,16.0,21.0,1024.7,16.3,72.0
2023,1,4,10,1.38,East,18.0,27.0,1025.5,16.3,75.0
2023,1,4,11,1.34,East,18.0,26.0,1025.4,16.7,73.0
2023,1,4,12,1.32,Northeast,14.0,22.0,1024.7,17.6,70.0
2023,1,4,13,1.35,East,13.0,21.0,1023.7,19.3,67.0
2023,1,4,14,1.47,East,14.0,18.0,1023.0,19.3,65.0
2023,1,4,15,1.68,East,12.0,21.0,1022.2,19.3,67.0
2023,1,4,16,1.91,East,15.0,22.0,1021.6,19.2,68.0
2023,1,4,17,2.09,East,12.0,20.0,1021.6,18.8,70.0
2023,1,4,18,2.19,East,14.0,20.0,1021.8,18.1,74.0
2023,1,4,19,2.26,East,16.0,22.0,1022.2,17.6,76.0
2023,1,4,20,2.28,East,12.0,18.0,1022.8,17.4,80.0
2023,1,4,21,2.2,East,15.0,24.0,1023.6,17.6,80.0
2023,1,4,22,1.99,East,15.0,23.0,1024.0,17.6,78.0
2023,1,4,23,1.67,East,19.0,27.0,1024.4,17.7,80.0
2023,1,4,24,1.3,East,19.0,26.0,1024.2,17.4,81.0
2023,1,5,1,0.95,East,22.0,30.0,1023.7,17.4,79.0
2023,1,5,2,0.71,East,19.0,30.0,1023.5,17.4,81.0
2023,1,5,3,0.63,East,23.0,30.0,1023.3,17.3,82.0
2023,1,5,4,0.66,East,22.0,27.0,1023.0,17.2,82.0
2023,1,5,5,0.78,East,15.0,24.0,1023.2,17.1,81.0
2023,1,5,6,0.92,East,11.0,17.0,1023.5,16.9,83.0
2023,1,5,7,1.06,Northeast,6.0,9.0,1024.0,17.0,82.0
2023,1,5,8,1.22,East,8.0,12.0,1024.5,17.0,81.0
2023,1,5,9,1.33,East,10.0,15.0,1025.0,17.4,81.0
2023,1,5,10,1.38,East,7.0,11.0,1025.5,17.9,76.0
2023,1,5,11,1.37,East,8.0,14.0,1025.4,18.9,73.0
2023,1,5,12,1.34,East,12.0,17.0,1024.7,20.2,68.0
2023,1,5,13,1.34,East,10.0,15.0,1024.0,21.0,66.0
2023,1,5,14,1.4,East,10.0,15.0,1024.0,,
2023,1,5,15,1.57,East,14.0,18.0,1021.5,21.3,66.0
2023,1,5,16,1.82,East,12.0,17.0,1021.2,20.8,67.0
2023,1,5,17,2.05,East,8.0,11.0,1021.1,19.7,74.0
2023,1,5,18,2.22,East,12.0,17.0,1021.5,19.3,76.0
2023,1,5,19,2.3,East,9.0,12.0,1022.2,18.5,81.0
2023,1,5,20,2.34,East,8.0,12.0,1023.0,18.2,80.0
2023,1,5,21,2.31,East,9.0,12.0,1023.5,18.0,79.0
2023,1,5,22,2.17,East,15.0,20.0,1024.2,17.8,81.0
2023,1,5,23,1.9,East,12.0,18.0,1024.2,17.6,83.0
2023,1,5,24,1.52,East,15.0,24.0,1024.0,17.6,81.0
2023,1,6,1,1.13,East,9.0,17.0,1023.5,17.5,84.0
2023,1,6,2,0.78,East,14.0,19.0,1023.2,17.3,87.0
2023,1,6,3,0.57,East,10.0,17.0,1023.2,17.3,88.0
2023,1,6,4,0.53,East,9.0,12.0,1022.6,17.2,88.0
2023,1,6,5,0.62,East,3.0,7.0,1022.7,17.2,88.0
2023,1,6,6,0.79,Southeast,2.0,9.0,1023.1,17.1,86.0
2023,1,6,7,0.94,Variable,1.0,7.0,1023.6,17.7,74.0
2023,1,6,8,1.12,East,12.0,20.0,1024.0,17.5,72.0
2023,1,6,9,1.28,Northeast,7.0,12.0,1024.5,18.4,63.0
2023,1,6,10,1.36,East,12.0,22.0,1024.9,19.2,58.0
2023,1,6,11,1.39,East,10.0,24.0,1024.9,20.4,54.0
2023,1,6,12,1.35,Northeast,6.0,15.0,1024.0,21.5,50.0
2023,1,6,13,1.33,North,14.0,29.0,1023.1,21.4,53.0
2023,1,6,14,1.35,North,12.0,23.0,1021.8,23.0,45.0
2023,1,6,15,1.46,North,10.0,17.0,1020.7,23.0,45.0
2023,1,6,16,1.68,Calm,0.0,,,23.0,45.0
2023,1,6,17,1.94,Northeast,9.0,15.0,1020.2,22.9,47.0
2023,1,6,18,2.18,Northeast,10.0,18.0,1020.9,22.1,52.0
2023,1,6,19,2.31,East,11.0,17.0,1021.6,21.0,59.0
2023,1,6,20,2.36,North,11.0,17.0,1022.2,20.0,70.0
2023,1,6,21,2.37,North,12.0,18.0,1022.4,20.0,53.0
2023,1,6,22,2.29,Northeast,11.0,18.0,1022.3,19.9,50.0
2023,1,6,23,2.1,Northeast,5.0,9.0,1022.5,19.8,52.0
2023,1,6,24,1.76,Variable,5.0,15.0,1022.1,19.3,54.0
2023,1,7,1,1.35,Variable,1.0,5.0,1021.8,19.0,56.0
2023,1,7,2,0.96,East,6.0,11.0,1021.6,19.1,56.0
2023,1,7,3,0.64,Calm,0.0,,1021.0,18.8,58.0
2023,1,7,4,0.49,East,9.0,14.0,1020.5,18.4,60.0
2023,1,7,5,0.51,North,5.0,11.0,1020.0,18.5,56.0
2023,1,7,6,0.65,Calm,0.0,,1020.1,18.5,59.0
2023,1,7,7,0.84,Calm,0.0,,1020.1,18.2,60.0
2023,1,7,8,1.02,Northeast,5.0,11.0,1020.8,17.9,63.0
2023,1,7,9,1.2,East,11.0,17.0,1021.4,18.0,63.0
2023,1,7,10,1.33,East,12.0,18.0,1021.6,18.4,61.0
2023,1,7,11,1.39,East,15.0,21.0,1021.7,19.5,56.0
2023,1,7,12,1.37,East,14.0,20.0,1021.6,20.3,55.0
2023,1,7,13,1.32,East,12.0,18.0,1020.8,20.7,56.0
2023,1,7,14,1.31,East,15.0,22.0,1019.9,21.2,53.0
2023,1,7,15,1.36,East,15.0,26.0,1019.1,20.9,53.0
2023,1,7,16,1.53,East,12.0,20.0,1018.6,20.5,56.0
2023,1,7,17,1.79,East,15.0,20.0,1018.6,20.3,57.0
2023,1,7,18,2.06,East,12.0,18.0,1019.2,19.6,63.0
2023,1,7,19,2.27,East,18.0,25.0,1019.7,18.8,67.0
2023,1,7,20,2.36,East,19.0,29.0,1020.4,18.6,68.0
2023,1,7,21,2.39,East,26.0,35.0,1020.7,18.7,62.0
2023,1,7,22,2.36,East,29.0,39.0,1020.8,18.7,54.0
2023,1,7,23,2.23,East,25.0,35.0,1021.4,18.6,61.0
2023,1,7,24,1.98,East,22.0,30.0,1021.1,18.5,63.0
2023,1,8,1,1.59,East,30.0,42.0,1020.9,18.3,62.0
2023,1,8,2,1.19,East,30.0,40.0,1020.4,18.2,60.0
2023,1,8,3,0.81,East,36.0,49.0,1019.8,18.2,62.0
2023,1,8,4,0.55,East,37.0,47.0,1019.6,18.2,58.0
2023,1,8,5,0.47,East,24.0,36.0,1019.4,18.2,60.0
2023,1,8,6,0.55,East,27.0,39.0,1019.5,18.2,55.0
2023,1,8,7,0.74,East,19.0,30.0,1019.6,18.2,58.0
2023,1,8,8,0.94,East,18.0,33.0,1020.4,18.4,54.0
2023,1,8,9,1.12,East,19.0,40.0,1021.1,18.8,46.0
2023,1,8,10,1.28,East,19.0,33.0,1021.3,19.2,41.0
2023,1,8,11,1.37,East,23.0,42.0,1021.6,19.6,42.0
2023,1,8,12,1.39,East,21.0,30.0,1021.4,19.2,47.0
2023,1,8,13,1.34,East,25.0,40.0,1020.5,19.3,49.0
2023,1,8,14,1.29,East,22.0,35.0,1019.6,19.6,53.0
2023,1,8,15,1.31,East,24.0,35.0,1018.7,19.8,49.0
2023,1,8,16,1.4,East,21.0,33.0,1018.4,19.4,52.0
2023,1,8,17,1.62,East,22.0,34.0,1018.3,19.1,56.0
2023,1,8,18,1.9,East,23.0,35.0,1018.8,18.9,58.0
2023,1,8,19,2.16,East,20.0,35.0,1019.4,18.6,61.0
2023,1,8,20,2.32,East,25.0,36.0,1019.8,18.3,65.0
2023,1,8,21,2.37,East,19.0,28.0,1020.5,17.4,81.0
2023,1,8,22,2.37,East,14.0,23.0,1020.3,17.6,77.0
2023,1,8,23,2.3,East,19.0,27.0,1020.3,18.0,70.0
2023,1,8,24,2.13,,,,1020.3,18.2,67.0
2023,1,9,1,1.83,East,15.0,26.0,1020.3,18.5,63.0
2023,1,9,2,1.42,East,15.0,25.0,1020.1,18.5,63.0
2023,1,9,3,1.03,East,13.0,22.0,1020.0,18.7,63.0
2023,1,9,4,0.69,East,18.0,26.0,1019.5,18.7,64.0
2023,1,9,5,0.52,East,23.0,32.0,1019.0,18.3,67.0
2023,1,9,6,0.52,East,20.0,29.0,1018.8,18.4,68.0
2023,1,9,7,0.66,East,19.0,32.0,1019.1,18.6,67.0
2023,1,9,8,0.87,East,18.0,26.0,1019.6,18.9,66.0
2023,1,9,9,1.05,East,18.0,28.0,1020.1,19.3,66.0
2023,1,9,10,1.22,East,15.0,24.0,1020.6,19.7,65.0
2023,1,9,11,1.34,East,17.0,24.0,1020.7,20.2,66.0
2023,1,9,12,1.39,East,16.0,26.0,1020.5,20.6,66.0
2023,1,9,13,1.38,East,12.0,20.0,1019.8,21.1,66.0
2023,1,9,14,1.31,East,10.0,12.0,1018.9,21.3,68.0
2023,1,9,15,1.28,East,11.0,18.0,1018.0,21.2,72.0
2023,1,9,16,1.32,East,14.0,19.0,1017.8,21.2,72.0
2023,1,9,17,1.46,East,8.0,14.0,1017.9,21.0,74.0
2023,1,9,18,1.72,Northeast,4.0,7.0,1018.2,20.3,79.0
2023,1,9,19,1.99,Calm,1.0,,1018.9,20.1,81.0
2023,1,9,20,2.22,Calm,0.0,,1019.5,19.9,81.0
2023,1,9,21,2.32,Northeast,9.0,17.0,1020.1,19.5,82.0
2023,1,9,22,2.34,East,7.0,11.0,1020.2,19.5,80.0
2023,1,9,23,2.32,East,9.0,17.0,1020.3,19.5,81.0
2023,1,9,24,2.2,East,19.0,30.0,1020.1,19.4,85.0
2023,1,10,1,1.99,East,14.0,18.0,1020.0,18.7,88.0
2023,1,10,2,1.65,East,19.0,26.0,1019.4,18.3,91.0
2023,1,10,3,1.25,East,19.0,28.0,1018.8,18.6,88.0
2023,1,10,4,0.9,East,18.0,24.0,1018.6,18.4,91.0
2023,1,10,5,0.63,East,17.0,26.0,1018.3,18.3,91.0
2023,1,10,6,0.55,East,15.0,20.0,1018.1,18.3,93.0
2023,1,10,7,0.61,East,11.0,17.0,1018.1,18.3,92.0
2023,1,10,8,0.8,East,11.0,18.0,1018.7,18.5,90.0
2023,1,10,9,1.0,,,,,,
2023,1,10,10,1.16,Calm,0.0,,1020.1,18.7,93.0
2023,1,10,11,1.31,East,8.0,15.0,1020.4,18.9,93.0
2023,1,10,12,1.39,East,10.0,15.0,1020.2,18.7,90.0
2023,1,10,13,1.41,East,15.0,22.0,1019.2,18.9,88.0
2023,1,10,14,1.36,East,19.0,26.0,1018.5,18.6,87.0
2023,1,10,15,1.29,East,15.0,19.0,1018.0,18.4,91.0
2023,1,10,16,1.29,East,12.0,17.0,1017.7,18.2,92.0
2023,1,10,17,1.35,East,10.0,15.0,1017.6,18.0,95.0
2023,1,10,18,1.53,East,5.0,9.0,1018.2,17.7,94.0
2023,1,10,19,1.8,East,11.0,16.0,1018.3,17.7,95.0
2023,1,10,20,2.05,East,8.0,12.0,1018.5,17.7,93.0
2023,1,10,21,2.22,East,10.0,15.0,1018.8,17.8,91.0
2023,1,10,22,2.27,East,15.0,20.0,1019.1,17.9,92.0
2023,1,10,23,2.27,East,19.0,28.0,1019.2,17.8,90.0
2023,1,10,24,2.21,East,22.0,34.0,1019.3,17.8,91.0
2023,1,11,1,2.07,East,18.0,26.0,1019.2,17.9,91.0
2023,1,11,2,1.82,East,30.0,40.0,1019.2,17.6,93.0
2023,1,11,3,1.47,East,30.0,42.0,1018.7,17.6,86.0
2023,1,11,4,1.11,East,26.0,35.0,1018.2,17.3,90.0
2023,1,11,5,0.8,East,21.0,30.0,1017.8,17.1,92.0
2023,1,11,6,0.63,East,19.0,28.0,1017.7,17.0,94.0
2023,1,11,7,0.62,,,,,,
2023,1,11,8,0.75,East,12.0,18.0,1018.6,17.1,94.0
2023,1,11,9,0.95,East,17.0,24.0,1019.0,17.4,93.0
2023,1,11,10,1.13,East,19.0,26.0,1019.4,17.8,90.0
2023,1,11,11,1.27,East,19.0,28.0,,,89.0
2023,1,11,12,1.38,East,24.0,30.0,1019.0,17.9,88.0
2023,1,11,13,1.43,East,24.0,33.0,1018.1,18.6,85.0
2023,1,11,14,1.42,East,28.0,36.0,1016.9,18.5,83.0
2023,1,11,15,1.36,East,23.0,30.0,1016.1,19.1,79.0
2023,1,11,16,1.31,East,23.0,30.0,1015.5,18.8,80.0
2023,1,11,17,1.31,East,19.0,26.0,1015.5,18.8,83.0
2023,1,11,18,1.4,East,24.0,32.0,1015.7,18.4,85.0
2023,1,11,19,1.6,East,19.0,26.0,1015.9,18.3,85.0
2023,1,11,20,1.85,East,22.0,29.0,1016.6,18.3,85.0
2023,1,11,21,2.06,East,27.0,37.0,1017.2,18.4,84.0
2023,1,11,22,2.17,East,27.0,39.0,1017.4,18.7,85.0
2023,1,11,23,2.19,East,23.0,30.0,1017.6,18.8,86.0
2023,1,11,24,2.16,East,25.0,36.0,1017.6,18.6,87.0
2023,1,12,1,2.08,East,29.0,39.0,1017.2,18.4,87.0
2023,1,12,2,1.91,East,24.0,42.0,1016.6,18.2,84.0
2023,1,12,3,1.64,East,27.0,42.0,1016.2,18.2,85.0
2023,1,12,4,1.31,East,18.0,30.0,1015.5,18.2,86.0
2023,1,12,5,1.0,East,19.0,29.0,1014.9,17.5,92.0
2023,1,12,6,0.76,East,28.0,39.0,1014.6,17.9,88.0
2023,1,12,7,0.68,East,24.0,34.0,1015.0,18.1,87.0
2023,1,12,8,0.74,East,25.0,38.0,1015.3,18.3,86.0
2023,1,12,9,0.91,East,19.0,30.0,1015.6,18.4,86.0
2023,1,12,10,1.1,East,20.0,29.0,1016.3,18.4,88.0
2023,1,12,11,1.24,East,19.0,27.0,1016.5,18.4,89.0
2023,1,12,12,1.37,East,20.0,26.0,1016.0,18.9,86.0
2023,1,12,13,1.45,East,22.0,29.0,1014.9,18.9,87.0
2023,1,12,14,1.48,East,21.0,28.0,1013.7,19.2,86.0
2023,1,12,15,1.45,East,21.0,27.0,1013.0,19.2,86.0
2023,1,12,16,1.38,East,19.0,26.0,1012.6,19.3,85.0
2023,1,12,17,1.34,East,21.0,28.0,1012.5,19.6,86.0
2023,1,12,18,1.34,East,19.0,27.0,1012.7,19.4,88.0
2023,1,12,19,1.45,East,15.0,20.0,1012.8,19.4,88.0
2023,1,12,20,1.64,East,17.0,22.0,1013.5,19.4,90.0
2023,1,12,21,1.85,East,21.0,27.0,1013.6,19.2,94.0
2023,1,12,22,2.01,East,12.0,18.0,1013.7,19.2,94.0
2023,1,12,23,2.06,East,12.0,19.0,1013.5,19.3,93.0
2023,1,12,24,2.06,East,17.0,24.0,1013.4,19.3,93.0
2023,1,13,1,2.01,East,11.0,18.0,1013.3,19.0,94.0
2023,1,13,2,1.91,East,9.0,14.0,1012.7,19.0,95.0
2023,1,13,3,1.73,East,8.0,11.0,1012.1,19.2,95.0
2023,1,13,4,1.47,East,11.0,12.0,1011.7,19.4,95.0
2023,1,13,5,1.19,East,9.0,12.0,1011.4,19.5,95.0
2023,1,13,6,0.94,East,10.0,13.0,1011.0,19.8,96.0
2023,1,13,7,0.79,East,11.0,15.0,1011.2,19.9,96.0
2023,1,13,8,0.78,East,7.0,11.0,1012.0,19.9,96.0
2023,1,13,9,0.89,East,9.0,12.0,1012.5,20.2,95.0
2023,1,13,10,1.07,East,8.0,11.0,1013.0,20.6,95.0
2023,1,13,11,1.23,East,4.0,7.0,1013.1,21.3,95.0
2023,1,13,12,1.36,East,8.0,11.0,1012.5,22.2,94.0
2023,1,13,13,1.46,Calm,0.0,,1011.3,23.4,90.0
2023,1,13,14,1.53,Variable,3.0,7.0,1010.5,23.6,89.0
2023,1,13,15,1.54,Variable,3.0,7.0,1009.5,23.8,89.0
2023,1,13,16,1.49,Northeast,5.0,12.0,1009.2,23.9,87.0
2023,1,13,17,1.43,West,5.0,11.0,1009.3,23.0,92.0
2023,1,13,18,1.38,Calm,0.0,,1009.3,22.5,96.0
2023,1,13,19,1.38,Calm,0.0,,1009.2,22.5,96.0
2023,1,13,20,1.47,East,2.0,7.0,1009.8,23.0,93.0
2023,1,13,21,1.63,Variable,1.0,9.0,1010.1,23.2,90.0
2023,1,13,22,1.79,Variable,1.0,7.0,1010.2,23.3,90.0
2023,1,13,23,1.88,Variable,1.0,12.0,1010.2,23.4,88.0
2023,1,13,24,1.9,West,1.0,7.0,1009.8,23.4,88.0
2023,1,14,1,1.88,Calm,0.0,,,,86.0
2023,1,14,2,1.83,Calm,0.0,,1009.5,23.0,90.0
2023,1,14,3,1.74,North,4.0,11.0,1009.3,22.2,96.0
2023,1,14,4,1.56,Calm,0.0,,1009.3,22.1,96.0
2023,1,14,5,1.34,Calm,0.0,,1009.1,22.0,96.0
2023,1,14,6,1.12,Calm,0.0,,1009.2,22.0,97.0
2023,1,14,7,0.94,Calm,0.0,,1009.6,21.9,97.0
2023,1,14,8,0.86,Calm,0.0,,1010.0,21.9,98.0
2023,1,14,9,0.9,Calm,0.0,,1010.7,22.2,97.0
2023,1,14,10,1.05,Calm,0.0,,1011.0,22.6,96.0
2023,1,14,11,1.23,Calm,0.0,,1011.2,23.3,89.0
2023,1,14,12,1.37,Calm,0.0,,1010.8,23.8,86.0
2023,1,14,13,1.49,Calm,0.0,,1009.8,24.2,85.0
2023,1,14,14,1.57,West,3.0,9.0,1008.8,24.3,83.0
2023,1,14,15,1.63,West,9.0,15.0,1007.8,24.1,83.0
2023,1,14,16,1.62,,,,1007.3,24.6,79.0
2023,1,14,17,1.56,West,9.0,11.0,1007.1,24.5,78.0
2023,1,14,18,1.48,West,9.0,12.0,1007.3,24.1,79.0
2023,1,14,19,1.4,Southwest,6.0,7.0,1007.7,23.4,85.0
2023,1,14,20,1.38,Southwest,5.0,7.0,1008.3,22.7,87.0
2023,1,14,21,1.44,Southwest,6.0,9.0,1009.1,22.0,92.0
2023,1,14,22,1.55,Calm,0.0,,1009.7,21.4,93.0
2023,1,14,23,1.66,Calm,0.0,,1010.2,20.8,93.0
2023,1,14,24,1.7,Calm,0.0,,1010.4,20.3,94.0
2023,1,15,1,1.71,Calm,0.0,,1010.8,19.8,95.0
2023,1,15,2,1.69,West,3.0,8.0,1011.2,20.2,95.0
2023,1,15,3,1.65,Southwest,4.0,7.0,1011.0,20.5,94.0
2023,1,15,4,1.58,Southwest,4.0,7.0,1010.7,20.9,94.0
2023,1,15,5,1.44,Calm,0.0,,1010.8,20.7,94.0
2023,1,15,6,1.27,Southwest,11.0,17.0,1011.1,20.3,95.0
2023,1,15,7,1.1,Southwest,6.0,9.0,1011.7,20.4,94.0
2023,1,15,8,0.99,Calm,0.0,,1012.1,20.2,95.0
2023,1,15,9,0.97,Southwest,16.0,24.0,1013.5,19.5,89.0
2023,1,15,10,1.05,Calm,0.0,,1014.4,19.9,87.0
2023,1,15,11,1.22,West,6.0,12.0,1014.7,20.9,79.0
2023,1,15,12,1.38,Southwest,15.0,22.0,1014.4,21.3,74.0
2023,1,15,13,1.52,North,12.0,16.0,1013.9,21.1,74.0
2023,1,15,14,1.63,North,11.0,14.0,1013.6,19.4,72.0
2023,1,15,15,1.71,North,12.0,17.0,1013.2,19.1,71.0
2023,1,15,16,1.75,North,14.0,22.0,1013.3,18.4,72.0
2023,1,15,17,1.71,North,12.0,17.0,1013.8,17.3,72.0
2023,1,15,18,1.63,North,18.0,24.0,1014.6,16.6,73.0
2023,1,15,19,1.51,North,21.0,27.0,1015.7,16.2,70.0
2023,1,15,20,1.4,North,17.0,28.0,1017.0,15.5,71.0
2023,1,15,21,1.34,North,18.0,26.0,1018.0,15.0,66.0
2023,1,15,22,1.34,North,16.0,20.0,1018.8,14.5,67.0
2023,1,15,23,1.4,North,14.0,25.0,1019.8,13.5,70.0
2023,1,15,24,1.46,North,17.0,26.0,1020.2,13.4,69.0
2023,1,16,1,1.48,North,12.0,18.0,1020.3,12.9,67.0
2023,1,16,2,1.49,North,12.0,22.0,1020.3,12.7,66.0
2023,1,16,3,1.48,North,12.0,20.0,1020.1,12.3,65.0
2023,1,16,4,1.49,North,12.0,19.0,1020.0,12.1,65.0
2023,1,16,5,1.45,North,12.0,17.0,1019.8,11.9,65.0
2023,1,16,6,1.36,North,10.0,17.0,1019.8,11.8,68.0
2023,1,16,7,1.25,North,12.0,17.0,1020.3,11.7,66.0
2023,1,16,8,1.14,North,14.0,18.0,1021.8,11.7,66.0
2023,1,16,9,1.07,Northwest,11.0,17.0,1022.6,11.5,65.0
2023,1,16,10,1.09,North,12.0,17.0,1023.2,12.0,67.0
2023,1,16,11,1.2,North,8.0,14.0,1023.6,11.9,68.0
2023,1,16,12,1.38,Calm,0.0,,1023.1,12.4,67.0
2023,1,16,13,1.55,North,9.0,14.0,1022.1,12.7,66.0
2023,1,16,14,1.7,North,11.0,17.0,1021.1,13.0,68.0
2023,1,16,15,1.8,North,12.0,17.0,1020.5,12.6,65.0
2023,1,16,16,1.87,North,12.0,18.0,1020.2,12.7,65.0
2023,1,16,17,1.88,North,14.0,18.0,1020.3,13.1,66.0
2023,1,16,18,1.81,North,12.0,17.0,1020.8,12.7,63.0
2023,1,16,19,1.69,North,14.0,18.0,1021.5,12.5,62.0
2023,1,16,20,1.51,North,14.0,18.0,1022.0,12.4,64.0
2023,1,16,21,1.35,North,9.0,13.0,1022.6,12.3,64.0
